adult,backdrop_path,genre_ids,id,original_language,original_title,overview,popularity,poster_path,release_date,title,video,vote_average,vote_count,KEYWORDS,GENRES,CAST,DIRECTORS
False,/uZvkEU7X0JWYZJEEdEKQrdevyiw.jpg,"[18, 53]",19703,hi,A Wednesday!,"A retired police commissioner recounts the most memorable case of his career, wherein he was informed about a bomb scare in Mumbai.",7.222,/gVUSxtJM3arL5VIUIRNYde20EF0.jpg,2008-09-05,A Wednesday!,False,7.1,234,"['bomb', 'police', 'al qaeda', 'bomb threat']","['Drama', 'Thriller']","['Anupam Kher', 'Naseeruddin Shah', 'Jimmy Shergill', 'Deepal Shaw', 'Aamir Bashir', 'Rohitash Gaud', 'Vijay Bhatia', 'Kali Prasad Mukherjee', 'Gaurav Kapur', 'Chetan Pandit', 'Snehal Dabi', 'Aayam Mehta', 'Mukesh Bhatt', 'Vicky Ahuja', 'Seema Malik', 'Paarth Apurva Mehrotra', 'Alok Narula', 'Veerendra Saxena', 'Bhagwan Tiwari', 'Rajendra Chawla']",['Neeraj Pandey']
False,/lkjD3wgad9bJyGsVREYjmVbfX9S.jpg,"[18, 10749]",235984,hi,गोलियों की रासलीला रामलीला,Ran and Leela are passionately in love with each other. The only problem is that their respective clans have been enemies for 500 years.,5.725,/6Pph0xbOJvNPhWh1fdeWGHppSPH.jpg,2013-11-14,Goliyon Ki Raasleela Ram-Leela,False,7.1,147,"['forbidden love', 'musical', 'love', 'based on play or musical', 'family relationships', 'death of lover']","['Drama', 'Romance']","['Ranveer Singh', 'Deepika Padukone', 'Richa Chadha', 'Supriya Pathak', 'Sharad Kelkar', 'Gulshan Devaiah', 'Abhimanyu Singh', 'Jameel Khan', 'Barkha Bisht Sengupta', 'Bharat Chowda', 'Priyanka Chopra Jonas']",['Sanjay Leela Bhansali']
False,/nkpcnsPoYQ4XkhB0qqdzog6LWmt.jpg,"[35, 18]",653457,hi,मिमी,"An aspiring actress in a small town in Rajasthan agrees to bear a child for a visiting couple seeking a surrogate mother, but her experience takes an unexpected turn when they refuse to have the child anymore.",8.718,/5vq8UrzaTzT4QEs75HYYsK52EaN.jpg,2021-07-26,Mimi,False,7.2,40,"['surrogate mother', 'based on movie']","['Comedy', 'Drama']","['Kriti Sanon', 'Pankaj Tripathi', 'Sai Tamhankar', 'Evelyn Edwards', 'Supriya Pathak', 'Manoj Pahwa', 'Aidan Whytock', 'Amardeep Jha', 'Ishaque Mohammad Shaikh', 'Jacob Smith', 'Jaya Bhattacharya']",['Laxman Utekar']
False,/uoqDaSsJp5aBsBUOpDVBg3asLKO.jpg,"[18, 35, 10749]",15864,hi,बचना ऐ हसीनो,"Raj is a heartbreaker. His love stories with Mahi, Radhika and Gayatri finally teach him about love and life in their own sweet, sexy and sassy way.",6.359,/HqUJdDNYJx4UTdMTz7Ezu1bQwA.jpg,2008-08-15,Bachna Ae Haseeno,False,6.3,63,[],"['Drama', 'Comedy', 'Romance']","['Ranbir Kapoor', 'Deepika Padukone', 'Bipasha Basu', 'Minissha Lamba', 'Puneet Issar', 'Bhanu Sri Mehra', 'Hiten Paintal', 'Avantika Hundal', 'Sumeet Arora', 'Madhurima Tuli', 'Kunal Kapoor']",['Siddharth Anand']
False,/uxAMBKITv0YRttbPPTybEcL9Vd8.jpg,"[35, 18, 10749]",441906,hi,Jab Harry Met Sejal,"Haunted by the memories of home he once knew, a middle-aged tour guide unconsciously embarks on a journey to find self.",8.725,/rWX9ZPcKH6qId169zm8GdFlRTdy.jpg,2017-08-04,Jab Harry Met Sejal,False,6.5,149,['challa'],"['Comedy', 'Drama', 'Romance']","['Shah Rukh Khan', 'Anushka Sharma', 'Aru Krishansh Verma', 'Chandan Roy Sanyal', 'Evelyn Sharma', 'Kavi Shastri', 'Sayani Gupta', 'Björn Freiberg', 'Martavious Gayles', 'Manjot Singh', 'Aanjjan Srivastav', 'Denis Dorokhov']",['Imtiaz Ali']
False,/snullkwVk9LXGjHxI2A80TRmkwr.jpg,"[28, 18, 10749, 53]",35053,hi,डर,A woman is caught between one man's love and another man's obsession. She fears one and fears for the other. One stands for love and the other for life. Who will she choose?,6.865,/6y601CavDK46ap8uxeoXxpArU8p.jpg,1993-12-23,Darr,False,6.9,55,"['love triangle', 'forbidden love', 'stalker']","['Action', 'Drama', 'Romance', 'Thriller']","['Sunny Deol', 'Juhi Chawla', 'Shah Rukh Khan', 'Anupam Kher', 'Tanvi Azmi', 'Dalip Tahil', 'Annu Kapoor', 'Vikas Anand']",['Yash Chopra']
False,/kmOwJaGsvpSQLdu4PqNvDRQXHxx.jpg,"[35, 10751]",19670,hi,गोलमाल,Four runaway crooks take shelter in a bungalow which is owned by a blind couple.,7.666,/3ubefqLk26Gy0lXCfGIu8hQrBak.jpg,2006-07-14,Golmaal - Fun Unlimited,False,6.6,90,"['stupidity', 'dream girl']","['Comedy', 'Family']","['Ajay Devgn', 'Tusshar Kapoor', 'Arshad Warsi', 'Sharman Joshi', 'Paresh Rawal', 'Rimi Sen', 'Sushmita Mukherjee', 'Mukesh Tiwari', 'Sanjay Mishra', 'Manoj Joshi', 'Vrajesh Hirjee', 'Farid Amiri']",['Rohit Shetty']
False,/1LdqbENZXPNkrnnYMaulrLHoxTE.jpg,[53],124093,hi,Jism 2,"A porn star is hired by a dashing intelligence officer as a 'honey-trap' for a dreaded assassin. She not only has to confront her bitter-sweet past, but is also forced to make an impossible choice - one that will put her own life in jeopardy.",10.597,/wQzx3Pw5WrBpxiWIg02Gu2FlsfU.jpg,2012-08-03,Jism 2,False,4.4,21,"['honey trap', 'woman director', 'erotic thriller']",['Thriller'],"['Randeep Hooda', 'Arunoday Singh', 'Sunny Leone', 'Arif Zakaria', 'Sumit Nijhawan', 'Imran Zahid']",['Pooja Bhatt']
False,/w7zV77jwfGXPKq0kKYFi1wGu1sc.jpg,[53],601807,hi,Mrs. Serial Killer,"When her husband is framed and imprisoned for serial murders, a doting wife must perform a copycat murder, to prove her husband's innocence.",7.674,/4qogeMcCcqilL2PGUUY7KbrpWsj.jpg,2020-05-01,Mrs. Serial Killer,False,6.4,73,"['murder', 'serial killer', 'female serial killer']",['Thriller'],"['Jacqueline Fernandez', 'Manoj Bajpayee', 'Mohit Raina', 'Darshan Jariwala', 'Zayn Marie Khan', 'Chanda Joshi', 'Deepak Arora']",['Shirish Kunder']
False,/wpqsqeiFa7hLBtEIQYtvARiSSDI.jpg,"[18, 36, 28]",375290,hi,Airlift,"When Iraq invades Kuwait in August, 1990, a callous Indian businessman becomes the spokesperson for more than 170,000 stranded countrymen.",5.465,/oyaxIm3kTWDQtcYQ45eN5sZ6WIz.jpg,2016-01-22,Airlift,False,7.2,155,"['evacuation', 'based on true story', 'iraq war']","['Drama', 'History', 'Action']","['Akshay Kumar', 'Nimrat Kaur', 'Feryna Wazheir', 'Lenaa', 'Purab Kohli', 'Ninad Kamat', 'Gunjan Malhotra', 'Sameer Ali Khan', 'Nissar Khan', 'Pawan Chopra', 'Prakash Belawadi', 'Kaizaad Kotwal', 'Inaamulhaq', 'Kumud Mishra', 'Avtar Gill', 'Surendra Pal', 'Arun Bali', 'Bachchan Pachera', 'Ritika Badiani']",['Raja Menon']
