id,overview,popularity,release_date,title,vote_average,vote_count,KEYWORDS,GENRES,CAST,DIRECTORS
143953,"Living an indolent life in a luxurious palace, Prince Gautama (Rai) is insulated by his family from the harshness of the world outside. But he is destined to learn greater truths: shocked to discover the pain and suffering of so many in his kingdom, he abandons his privileged existence, and his wife Gopa (Seeta Devi), to become a wandering teacher, eventually finding enlightenment and founding Buddhism. Featuring superimposed images and deep-focus shots that were highly impressive for the time, Light of Asia astutely combines a deeply felt spirituality with the surefire attraction of Indian exotica, which helped make it a considerable success in Europe.",0.869,1925-10-22,The Light of Asia,6.3,7,[],['Drama'],"['Seeta Devi', 'Himansu Rai', 'Sarada Ukil', 'Rani Bala', 'Prafulla Roy', 'Modhu Bose', 'Mrinalini Devi', 'Sunalini Devi', 'Sushil Ghosh', 'Sundar Rajam', ""Ekambi 'Wilhelm' Tongo""]","['Franz Osten', 'Himansu Rai']"
302876,After completing his schooling Ajay returns home to be a teacher. One of his students is in love with him but he chooses another girl to marry.,0.998,1994-01-01,Andaz,5.7,3,"['patriotism', 'teenage love']","['Action', 'Comedy', 'Music', 'Romance']","['Anil Kapoor', 'Karisma Kapoor', 'Juhi Chawla', 'Kader Khan', 'Raj Babbar', 'Satish Kaushik', 'Ishrat Ali', 'Mahesh Anand', 'Shakti Kapoor']",['David Dhawan']
403858,"Budhia Singh – Born To Run is an upcoming 2016 Indian biographical sports film directed by Soumendra Padhi. It is based on Budhia Singh, who ran 48 marathons — one of which was from Bhubaneshwar to Puri, when he was a five-year-old.",1.469,2016-08-05,Budhia Singh: Born to Run,6.1,10,['biography'],['Drama'],"['Manoj Bajpayee', 'Mayur Mahendra Patole', 'Tillotama Shome', 'Gajraj Rao', 'Shruti Marathe']",['Soumendra Padhi']
18609,"Maj. Siddhant Chaudhary, an Indian Army lawyer, attempts to defend Capt. Javed Khan who is accused of killing a decorated officer. The problem is that Khan does not wish to be defended and freely admits to his crime.",0.649,2008-04-04,Shaurya,7.4,8,[],"['Drama', 'Thriller']","['Kay Kay Menon', 'Rahul Bose', 'Javed Jaffrey', 'Deepak Dobriyal', 'Minissha Lamba', 'Amrita Rao', 'Seema Biswas', 'Pavan Malhotra', 'Aditya Lakhia', 'Denzil Smith', 'Pankaj Tripathi', 'Bikramjeet Kanwarpal', 'Subrat Dutta', 'Shah Rukh Khan']",['Samar Khan']
301612,"Karim Khan is employed as driver for a gangster named Don, who has an accident with his car, and asks Karim to take the blame for it for a hefty sum of cash, which Karim does so, and is imprisoned. But Don does not fulfill his promise, and as a result, Karim's wife, Razia, and new-born son are left destitute. Razia complains to Police Inspector Anwar, who arrests Don and holds him in prison, pending his trial in court. When Anwar finds out that his new-born son, Iqbal, is in need of a pace-maker, which he is unable to afford, he makes a compromise with Don, who lets him have one. Iqbal undergoes surgery and a pace-maker number 786, considered lucky in Islamic faith, is attached to his tiny heart.",1.466,1986-08-07,Allah-Rakha,0.0,0,[],[],"['Jackie Shroff', 'Shammi Kapoor', 'Waheeda Rehman', 'Dimple Kapadia', 'Meenakshi Seshadri', 'Bindu', 'Anupam Kher', 'Bob Christo', 'Gulshan Grover', 'Goga Kapoor']",['Ketan Desai']
829549,"Jilted by his wife, a man with OCD finds eye-opening common ground and camaraderie with his neighbour, a young man with Down Syndrome.",0.943,2021-03-19,Ahaan,0.0,0,[],"['Comedy', 'Drama']","['Arif Zakaria', 'Niharika Singh', 'Abuli Mamaji']",['Nikhil Pherwani']
394034,"Vikram is a happy-go-lucky management student from a top Business School of India. He becomes an overnight sensation after a successful internet campaign against the radical fundamentalism of moral policing in India. This prompts his university teacher - Professor Ranjan Batki, to throw him a challenge for yet another internet campaign that would help raise money via a non-profit Pottery Club for poor people living in Maoists areas of India. Little does Vikram know that he is about to become a part of a plot that would risk his life and the nation. He gets entangled between two corrupt facets of India - Socialism and Capitalism, both of which are deeply rooted in India. It's a story inspired from true life incidents of Underbelly India.",0.62,2016-05-13,Buddha in a Traffic Jam,7.5,6,[],"['Thriller', 'Crime']","['Anupam Kher', 'Arunoday Singh', 'Mahie Gill', 'Pallavi Joshi', 'Gopal Singh', 'Aanchal Dwivedi']",['Vivek Agnihotri']
324971,"Khud-Daar is a 1982 Indian Hindi movie directed by Ravi Tandon. The music is by Rajesh Roshan and the lyrics by Majrooh Sultanpuri. The film stars Amitabh Bachchan, Parveen Babi, Vinod Mehra, Sanjeev Kumar, Prem Chopra, Mehmood, Bindiya Goswami and Tanuja in pivotal roles. It was remade in Tamil as Padikkadhavan which starred Rajinikanth and in Telugu as Driver Babu with Sobhan Babu.",0.685,1982-02-12,Khud-Daar,7.0,1,[],[],"['Amitabh Bachchan', 'Sanjeev Kumar', 'Vinod Mehra', 'Parveen Babi', 'Bindiya Goswami', 'Bindiya Goswami', 'Prem Chopra', 'Mehmood']",['Ravi Tandon']
517180,"In a city overflowing with buildings and slums, Smita must find herself a house to rent. She is hard-working, honest and respectful - the ideal tenant - except for one glaring flaw. She is a middle-class Indian woman without a husband. An intimate perspective on the identity of the 'Ideal Indian Female' in urban India of today.",0.618,2018-01-18,Counterfeit Kunkoo,7.7,6,"['mumbai (bombay), india', 'sexism', 'domestic abuse', 'misogyny', 'discrimination', 'short film']",['Drama'],"['Kani Kusruti', 'Vijay Varma']",['Reema Sengupta']
64661,"Tusshar Kapoor plays Sahil, an artist who draws cartoons. He falls in love with Amrita Rao, the daughter of a businessman, for whom Tusshar had deigned a mascot. The story moves on and both fall in love. But since her father hates artists, therefore, he decides she will not marry him.",1.118,2011-05-13,Love U... Mr. Kalakaar!,5.2,7,[],"['Romance', 'Family']","['Tusshar Kapoor', 'Amrita Rao']",['S. Manasvi']
410214,"A motley crew of university students set out on a journey in pursuit of a mythical form of hash, confronting a series of encounters that begin to unravel the myriad realities of rebellion.",1.438,2016-07-22,M Cream,6.0,6,['road trip'],"['Adventure', 'Drama', 'Comedy']","['Tom Alter', 'Raaghav Chanana', 'Ira Dubey', 'Barry John', 'Beatrice Ordeix']","['Agneya Singh', 'Aban Raza']"
118809,"When a gangster takes over the art of karate and causes unrest in a town, one man rises to fight against them.",0.964,1992-01-01,Jigar,5.3,2,"['martial arts', 'challenge', 'revenge']","['Action', 'Drama', 'Romance']","['Ajay Devgn', 'Karisma Kapoor', 'Arjun', 'Ishrat Ali', 'Salim Khan', 'Gulshan Grover', 'Aruna Irani', 'Paresh Rawal', 'Shashi Kiran', 'Ajit Khan', 'Goga Kapoor']",['Farogh Siddique']
